cui	disease_name
C1328061	Myelodysplastic/myeloproliferative neoplasm, unclassifiable
C1328348	Mitochondrial hepatopathy
C1328840	Autoimmune Lymphoproliferative Syndrome
C1332078	Anaplastic large cell lymphoma, ALK negative
C1332137	Lung Acinar Adenocarcinoma
C1332165	Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma
C1332166	Adenocarcinoma of the gastroesophageal junction
C1332167	Adenoid cystic breast carcinoma
C1332244	Adenoma of ampulla of Vater
C1332257	Adenocarcinoma of anus
C1332279	Anaplastic Brain Stem Astrocytoma
C1332281	Anaplastic Diencephalic Astrocytoma
C1332282	Anaplastic Hemispheric Astrocytoma
C1332329	Appendix Villous Adenoma
C1332345	Atypical Adenomatous Lung Hyperplasia
C1332347	Atypical Ductal Breast Hyperplasia
C1332517	Benign Soft Tissue Tumor of Uncertain Differentiation
C1332527	Benign Ovarian Serous Tumor
C1332537	benign myoepithelioma of salivary gland
C1332564	Small cell neuroendocrine carcinoma of bladder
C1332593	Borderline Exocrine Pancreatic Neoplasm
C1332598	Borderline serous tumour of ovary
C1332608	Astrocytoma of brain stem
C1332610	Brain Stem Glioblastoma
C1332638	small cell carcinoma of breast
C1332655	Complement component 3 deficiency
C1332852	Cardiac rhabdomyoma
C1332865	meningioma of cavernous sinus
C1332866	Adenocarcinoma of cecum
C1332869	Cecum Villous Adenoma
C1332888	Central nervous system melanoma
C1332894	Central Nervous System T-Cell Non-Hodgkin Lymphoma
C1332899	Cerebellar Glioblastoma
C1332906	Cerebral Glioblastoma
C1332912	Cervical Clear Cell Adenocarcinoma
C1332913	Cervical Endometrioid Adenocarcinoma
C1332917	Carcinosarcoma of cervix uteri
C1332930	Chest Wall Fibromatosis
C1332969	Childhood Ganglioglioma
C1333045	Chronic Myelomonocytic Leukemia with Eosinophilia
C1333046	Myeloproliferative Neoplasm, Unclassifiable
C1333084	Colon Neuroendocrine Tumor G1
C1333090	Colon Juvenile Polyp
C1333099	Colon Small Cell Carcinoma
C1333106	Colorectal Adenoma with Mild Dysplasia
C1333108	Colorectal Adenoma with Severe Dysplasia
C1333109	Colorectal Gastrointestinal Stromal Tumor
C1333116	Colorectal Traditional Serrated Adenoma
C1333117	Colorectal Tubular Adenoma
C1333118	Colorectal Tubulovillous Adenoma
C1333119	Colorectal Villous Adenoma
C1333122	Combined Lung Large Cell Neuroendocrine Carcinoma
C1333123	Combined Lung Carcinoma
C1333125	combined small cell carcinoma of lung
C1333138	Complex Endometrial Hyperplasia with Atypia
C1333172	Cutaneous Follicular Lymphoma
C1333280	Desmoplastic melanoma
C1333285	Diencephalic Glioblastoma
C1333322	Villous adenoma of duodenum
C1333377	Central Nervous System Embryonal Carcinoma
C1333378	Central Nervous System Embryonal Neoplasm
C1333394	Endometrial intraepithelial neoplasia
C1333396	Endometrial Squamous Cell Carcinoma
C1333422	Epithelioid Cell Uveal Melanoma
C1333450	Esophageal High Grade Intraepithelial Neoplasia
C1333477	Ethmoid Sinus Squamous Cell Carcinoma
C1333481	Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor of Bone
C1333495	Extra-Adrenal Retroperitoneal Paraganglioma
C1333502	Extragonadal Seminoma
C1333514	Extraskeletal Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor
C1333600	Hereditary Malignant Neoplasm
C1333621	Flat Urothelial Hyperplasia
C1333741	Gallbladder adenosquamous carcinoma
C1333759	small cell carcinoma of gallbladder
C1333761	Gastric Adenosquamous Carcinoma
C1333772	Gastric Heterotopia of the Small Intestine
C1333780	mantle cell lymphoma of stomach
C1333782	MALT lymphoma of stomach
C1333785	Gastric Papillary Adenocarcinoma
C1333788	Gastric Small Cell Carcinoma
C1333789	Gastric Squamous Cell Carcinoma
C1333791	Gastric Tubular Adenocarcinoma
C1333962	Hepatic Angiomyolipoma
C1333965	benign fibroma of liver
C1333966	Liver Fibrosarcoma
C1333984	Hepatosplenic T-cell lymphoma
C1333990	Hereditary Nonpolyposis Colorectal Cancer
C1333991	Hereditary Non-Polyposis Colon Cancer Type 2
C1334003	Barretts esophagus with high grade dysplasia
C1334030	Histiocytic and Dendritic Cell Neoplasm
C1334158	Immunodeficiency-associated Burkitt's lymphoma
C1334184	Infratentorial Glioblastoma
C1334282	Inverted urothelial papilloma
C1334296	Jejunal Neuroendocrine Tumor G1
C1334363	large cell neuroendocrine carcinoma of lung
C1334368	Laryngeal Adenoid Cystic Carcinoma
C1334386	Meningeal melanoma
C1334455	Pulmonary Sclerosing Hemangioma
C1334546	Major Salivary Gland Acinic Cell Carcinoma
C1334547	Major Salivary Gland Adenocarcinoma
C1334548	Major Salivary Gland Adenoid Cystic Carcinoma
C1334549	Major Salivary Gland Carcinoma
C1334550	Major Salivary Gland Carcinoma ex Pleomorphic Adenoma
C1334551	Major Salivary Gland Mucoepidermoid Carcinoma
C1334581	Malignant Extragonadal Germ Cell Tumor
C1334582	Malignant Extragonadal Non-Seminomatous Germ Cell Tumor
C1334597	Malignant germ cell neoplasm of mediastinum
C1334612	Malignant Pineal Region Germ Cell Tumor
C1334643	Maxillary Sinus Adenoid Cystic Carcinoma
C1334651	choriocarcinoma of mediastinum
C1334655	Mediastinal Germ Cell Tumor
C1334658	Hodgkin's lymphoma of mediastinum
C1334660	leiomyosarcoma of mediastinum
C1334666	Malignant Mediastinal Non-Seminomatous Germ Cell Tumor
C1334673	Mediastinal Neuroblastoma
C1334683	yolk sac tumor of mediastinum
C1334708	Metaplastic carcinoma of breast
C1334762	squamous cell carcinoma of middle ear
C1334768	Minor Salivary Gland Adenocarcinoma
C1334769	Minor Salivary Gland Adenoid Cystic Carcinoma
C1334773	Minor Salivary Gland Mucoepidermoid Carcinoma
C1334781	Mixed Cell Type Gastrointestinal Stromal Tumor
C1334782	Mixed Cell Uveal Melanoma
C1334785	Central Nervous System Mixed Germ Cell Tumor
C1334788	Combined Lung Small Cell and Squamous Cell Carcinoma
C1334801	Monophasic Synovial Sarcoma
C1334809	Mucinous adenocarcinoma gastric
C1334926	Nasopharyngeal Nonkeratinizing Carcinoma
C1334974	Non-Cutaneous Melanoma
C1334977	Non functioning pancreatic endocrine tumor
C1335103	Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma
C1335127	embryonal rhabdomyosarcoma of orbit
C1335139	Adenoid cystic carcinoma of oropharynx
C1335152	Ovarian Angiosarcoma
C1335164	Ovarian Leydig Cell Tumor, Not Otherwise Specified
C1335167	mucinous adenocarcinoma of ovary
C1335174	large cell neuroendocrine carcinoma of ovary
C1335177	Ovarian Serous Adenocarcinoma
C1335178	serous surface papillary carcinoma of ovary
C1335184	Ovarian Transitional Cell Carcinoma
C1335295	Palisaded Lymph Node Myofibroblastoma
C1335302	Pancreatic Ductal Adenocarcinoma
C1335314	Pancreatic Precancerous Condition
C1335353	Parotid Gland Acinic Cell Carcinoma
C1335354	adenocarcinoma of parotid gland
C1335355	Adenoid cystic carcinoma of parotid gland
C1335356	Carcinoma ex pleomorphic adenoma of parotid gland
C1335357	Parotid Gland Carcinosarcoma
C1335363	Mucoepidermoid carcinoma of parotid gland
C1335367	Squamous cell carcinoma of the parotid gland
C1335473	Primary chondrosarcoma of bone
C1335483	Gastric Diffuse Large B-Cell Lymphoma
C1335511	Prostate Leiomyosarcoma
C1335527	Prostatic Squamous Metaplasia
C1335679	Rectal hyperplastic polyp
C1335691	Tubulovillous adenoma of rectum
C1335903	Mucoepidermoid carcinoma of salivary gland
C1335904	Salivary Gland Myoepithelial Carcinoma
C1335924	Thymic Sarcomatoid Carcinoma
C1335929	Schwannomatosis
C1335965	Signet-ring cell adenocarcinoma gastric
C1335966	Simple Endometrial Hyperplasia with Atypia
C1335980	Thymic Small Cell Carcinoma
C1335996	Gastrointestinal stromal tumor of small intestine
C1336021	fibrosarcoma of soft tissue
C1336025	Solid Alveolar Rhabdomyosarcoma
C1336030	Solid pseudopapillary tumour of the pancreas
C1336056	Spindle Cell Type Gastrointestinal Stromal Tumor
C1336077	Sporadic Burkitt's lymphoma
C1336078	Papillary renal cell carcinoma, sporadic
C1336082	squamous cell carcinoma of thymus
C1336084	Squamous Lung Dysplasia
C1336094	Stage 0 Renal Pelvis Cancer AJCC v7
C1336098	Stage 0 Ureter Cancer AJCC v7
C1336521	adenocarcinoma of submandibular gland
C1336522	Adenoid cystic carcinoma of submandibular gland
C1336524	Mucoepidermoid carcinoma of submandibular gland
C1336525	Submandibular Gland Squamous Cell Carcinoma
C1336538	Supratentorial Embryonal Tumor, Not Otherwise Specified
C1336708	Testicular Germ Cell Tumor
C1336709	Granulosa cell tumour of the testis
C1336720	Testicular germ cell tumour mixed
C1336724	Testicular Non-Seminomatous Germ Cell Tumor
C1336735	Treatment related acute myeloid leukaemia
C1336746	Thymic Carcinoid Tumor
C1336749	Thyroid Diffuse Large B-Cell Lymphoma
C1336750	Thyroid Gland Oncocytic Adenoma
C1336754	mucosa-associated lymphoid tissue (MALT) lymphoma of thyroid
C1336853	Unclassified Renal Cell Carcinoma
C1336861	undifferentiated carcinoma of pancreas
C1336865	Thymic Undifferentiated Carcinoma
C1336885	adenocarcinoma of urethra
C1336890	squamous cell carcinoma of urethra
C1336905	Endometrial Endometrioid Adenocarcinoma
C1336917	Uterine Corpus Adenosarcoma
C1337011	Well Differentiated Pancreatic Endocrine Tumor
C1366911	Cerebral Cavernous Malformations 1
C1367420	Kaposiform Hemangioendothelioma
C1367653	Skin-associated lymphoid tissue lymphoma
C1367654	Marginal Zone B-Cell Lymphoma
C1368683	Epithelioma
C1368816	Sebaceous adenoma
C1368821	Ovarian Sclerosing Stromal Tumor
C1370419	Ovarian Granulosa Cell Tumor
C1370507	Cerebellar Liponeurocytoma
C1370510	Chordoid meningioma
C1370658	Intraneural perineurioma
C1370800	Bile duct adenocarcinoma
C1370889	Liposarcoma, well differentiated
C1377610	Peritoneal Mesothelioma
C1377913	Pleural Mesothelioma
C1378050	Oncocytic Neoplasm
C1378703	Renal carcinoma
C1384406	Secretory meningioma
C1384666	hearing impairment
C1384670	Single umbilical artery
C1389018	Atrioventricular Septal Defect
C1389280	Calcification of basal ganglia
C1394320	Cyst of endometrium
C1405984	Absent radius
C1412036	Anal squamous cell carcinoma
C1414216	Dystonia 6, torsion (disorder)
C1419610	RP23 gene
C1449563	Cardiomyopathy, Familial Idiopathic
C1449842	Pseudohypoaldosteronism, Type I, Autosomal Dominant
C1456781	Benign melanocytic nevus
C1458139	Malignant Blood Vessel Neoplasm
C1458140	Bleeding tendency
C1458155	Mammary Neoplasms
C1510455	Acrocephalosyndactylia
C1510460	Orofaciodigital Syndrome I
C1510489	Cerebral Amyloid Angiopathy, Hereditary
C1510586	Autism Spectrum Disorders
C1511100	Benign Ovarian Mucinous Tumor
C1511204	Bladder Urachal Adenocarcinoma
C1511263	Borderline Ovarian Mucinous Tumor
C1511306	Breast Diffuse Large B-Cell Lymphoma
C1511307	Breast Ductal Adenoma
C1511309	Breast Fibroepithelial Neoplasm
C1512419	Hereditary Melanoma
C1512743	Infiltrating Bladder Urothelial Carcinoma, Sarcomatoid Variant
C1513734	Conventional ameloblastoma
C1514428	Primary peritoneal carcinoma
C1514429	Primary Peritoneal Serous Adenocarcinoma
C1515291	Testicular Sclerosing Sertoli Cell Tumor
C1515441	Thyroid Gland Tissue
C1515868	Acinic Cell Breast Carcinoma
C1516426	Adenosarcoma of cervix uteri
C1516855	Endometrial Hyperplasia without Atypia
C1516865	Endometrial Undifferentiated Carcinoma
C1517117	carcinosarcoma of fallopian tube
C1517124	Fallopian Tube Serous Adenocarcinoma
C1518167	malignant myoepithelioma of breast
C1518693	Clear cell adenocarcinoma of ovary
C1518729	Ovarian Serous Adenofibroma
C1518735	Ovarian Signet Ring Stromal Tumor
C1518882	Bladder Papillary Urothelial Carcinoma
C1519001	Peripheral Nerve Schwannoma
C1519086	Pilomyxoid astrocytoma
C1519172	carcinoma ex pleomorphic adenoma of salivary gland
C1519176	Salivary Gland Pleomorphic Adenoma
C1519371	Small Intestinal Enteropathy-Associated T-Cell Lymphoma
C1519844	Uterine Corpus Atypical Polypoid Adenomyoma
C1519859	Endometrial Mucinous Adenocarcinoma
C1519864	Uterine Corpus Smooth Muscle Tumor of Uncertain Malignant Potential
C1520159	Wolffian tumor
C1521747	Mammary Gland Parenchyma
C1522133	Hypercholesterolemia result
C1527344	Dysphonia
C1527349	Ductal Breast Carcinoma
C1531773	Currarino triad
C1533161	Eccrine Poroma
C1533592	Malignant Paraganglionic Neoplasm
C1533847	Disorder of skeletal muscle
C1535926	Neurodevelopmental Disorders
C1561643	Chronic Kidney Diseases
C1562687	Benign medulloepithelioma of ciliary body
C1562894	Thiel-Behnke corneal dystrophy
C1563720	Kallmann Syndrome 2 (disorder)
C1565489	Renal Insufficiency
C1568247	Usher Syndrome, Type I
C1631597	VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1 (disorder)
C1698196	Muscle Weakness Upper Limb
C1698581	Rokitansky Kuster Hauser syndrome
C1704216	Basaloid carcinoma
C1704236	Perifollicular fibroma
C1704272	Benign Prostatic Hyperplasia
C1704273	Endometrial Polyp
C1704327	Bone Sarcoma
C1704328	Osteoblastic Osteosarcoma
C1704356	Enchondroma
C1704981	Hyperparathyroidism-Jaw Tumor Syndrome
C1706004	Anhydrotic Ectodermal Dysplasias
C1706727	Adrenal Gland Angiosarcoma
C1706762	Aldosterone-Producing Adrenal Cortex Adenoma
C1706829	Appendix adenoma
C1706832	Mucinous adenocarcinoma of appendix
C1706920	Benign pheochromocytoma of adrenal gland
C1707332	Cellular Myxoma
C1707400	Classic medulloblastoma
C1707435	Colon Traditional Serrated Adenoma
C1707446	Columnar Cell Hyperplasia of the Breast
C1707525	Cortisol-Producing Adrenal Cortex Adenoma
C1707837	Ulcerative Colitis-Associated Dysplasia of the Colorectum
C1707986	Extraocular Cutaneous Sebaceous Carcinoma
C1708045	Fetal Lung Adenocarcinoma
C1708174	Gallbladder Biliary Intraepithelial Neoplasia
C1708346	Hepatobiliary Tissue
C1708350	Hereditary Leiomyomatosis and Renal Cell Cancer
C1708353	Familial Paraganglioma-Pheochromocytoma Syndrome
C1708550	Intimal sarcoma
C1708604	Keratocystic Odontogenic Tumor
C1708656	Laryngeal Squamous Cell Carcinoma, Spindle Cell Variant
C1708747	Low grade appendiceal mucinous neoplasm
C1708766	Malignant carcinoid tumor of lung
C1708778	mucoepidermoid carcinoma of lung
C1708781	Sarcomatoid carcinoma of the lung
C1708782	signet ring cell carcinoma of lung
C1708784	Lung Spindle Cell Carcinoma
C1708788	Lung Typical Carcinoid Tumor
C1708792	Lung Lymphoepithelioma-Like Carcinoma
C1709052	Mixed Somatotroph and Lactotroph Adenoma
C1709053	Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features
C1709240	Non-Functioning Adrenal Cortex Adenoma
C1709308	Ocular Sebaceous Carcinoma
C1709570	Pleural Biphasic Mesothelioma
C1709574	Pleural Epithelioid Mesothelioma
C1709578	Pleural Sarcomatoid Mesothelioma
C1709584	Plurihormonal Pituitary Gland Adenoma
C1709656	Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type
C1709663	Primary Intraosseous Squamous Cell Carcinoma
C1709666	Primary Pulmonary Diffuse Large B-Cell Lymphoma
C1710067	Sex Hormone-Producing Adrenal Cortex Adenoma
C1710095	Sinonasal Carcinoma
C1710096	Sinonasal undifferentiated carcinoma
C1710112	Small Intestinal Tubular Adenoma
C1710113	Small Intestinal Tubulovillous Adenoma
C1710115	Small Intestinal Villous Adenoma
C1710177	squamous cell carcinoma of the thyroid gland
C1710250	Superior and Inferior Paraaortic Paraganglioma
C1711174	Bile Duct Tissue
C1711276	carcinosarcoma of lung
C1711397	Lung Pleomorphic Carcinoma
C1720189	Episodic Ataxia
C1720824	Sudden Cardiac Arrest
C1720860	Familial Partial Lipodystrophy, Type 2
C1721007	Pachyonychia Congenita, Type 2 (disorder)
C1723387	heterogeneous nuclear ribonucleoprotein G, human
C1735591	VACTERL Association
C1744559	Congenital ectodermal dysplasia of face
C1744708	Tracheal Carcinoma
C1800706	Idiopathic Pulmonary Fibrosis
C1802395	Congenital muscular hypertrophy-cerebral syndrome
C1824925	DEAFNESS, AUTOSOMAL RECESSIVE 70
C1827841	Enzyme activity finding
C1829703	Carnitine palmitoyl transferase 1A deficiency
C1832167	Ectopia Lentis, Spontaneous Filtering Blebs, and Craniofacial Dysmorphism
C1832168	BLOOD GROUP--FROESE
C1832200	Peroxisome biogenesis disorders
C1832243	CARDIOMYOPATHY, DILATED, 1D (disorder)
C1832274	Charcot-Marie-Tooth disease, Type 2D
C1832334	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D
C1832370	MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED
C1832378	Retinitis Pigmentosa 18
C1832388	Platelet Disorder, Familial, with Associated Myeloid Malignancy
C1832466	CAPOS syndrome
C1832475	Deafness, Autosomal Dominant 11
C1832525	Limb-girdle muscular dystrophy type 2F
C1832550	Lamellar ichthyosis, type 2
C1832600	Naxos disease
C1832662	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO
C1832669	SPASTIC PARAPLEGIA 9, AUTOSOMAL DOMINANT (disorder)
C1832680	CARDIOMYOPATHY, DILATED, 1E
C1832702	BRACHYDACTYLY, TYPE A2
C1832855	CHOREOATHETOSIS/SPASTICITY, EPISODIC
C1832918	Brody myopathy
C1832931	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 2
C1833021	DEAFNESS, AUTOSOMAL DOMINANT 6
C1833030	PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC
C1833104	DIABETES MELLITUS, PERMANENT NEONATAL
C1833154	Long Qt Syndrome 4
C1833202	LCHAD DEFICIENCY WITH MATERNAL ACUTE FATTY LIVER OF PREGNANCY
C1833213	Hyperferritinemia, hereditary, with congenital cataracts
C1833219	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B (disorder)
C1833245	Retinitis Pigmentosa 17
C1833308	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE V
C1833372	HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III
C1833477	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5
C1833508	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LATE-ONSET
C1833511	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, INFANTILE
C1833518	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LETHAL NEONATAL
C1833662	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
C1833734	Carpal osteolysis
C1833799	Optic Atrophy with Negative Electroretinograms
C1833921	Familial medullary thyroid carcinoma
C1834235	NEUROFIBROMATOSIS, FAMILIAL SPINAL
C1834304	AMYOTROPHY, HEREDITARY NEURALGIC
C1834481	CARDIOMYOPATHY, DILATED, 1S
C1834531	MYOPIA 2 (disorder)
C1834653	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B (disorder)
C1834671	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1B
C1834690	Spinal Muscular Atrophy, Childhood, Proximal, Autosomal Dominant
C1834692	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA
C1834752	MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)
C1834846	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 1
C1834931	Cystic renal dysplasia
C1835042	Melanoma astrocytoma syndrome
C1835044	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2
C1835265	Lymphedema, microcephaly and chorioretinopathy syndrome
C1835398	LI-FRAUMENI SYNDROME 1
C1835407	HEPATITIS C VIRUS, SUSCEPTIBILITY TO
C1835713	CIRRHOSIS, NONCRYPTOGENIC, SUSCEPTIBILITY TO (finding)
C1835813	Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency
C1835819	PITUITARY ANOMALIES WITH HOLOPROSENCEPHALY-LIKE FEATURES (disorder)
C1835849	Congenital Disorder Of Glycosylation, Type Im
C1835887	DIABETES MELLITUS, TRANSIENT NEONATAL, 2 (disorder)
C1835895	RETINITIS PIGMENTOSA 33 (disorder)
C1835923	Retinitis Pigmentosa 31
C1835933	Glaucoma 1, Open Angle, G
C1836033	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome
C1836050	Filaminopathy, autosomal dominant
C1836121	Al-Gazali Syndrome
C1836199	DEAFNESS, AUTOSOMAL RECESSIVE 48
C1836255	Preeclampsia Eclampsia 4
C1836284	Epidermolysis Bullosa Simplex with Migratory Circinate Erythema
C1836296	Muscle Weakness Lower Limb
C1836326	Teratoid Tumor, Atypical
C1836327	RHABDOID TUMOR PREDISPOSITION SYNDROME 1 (disorder)
C1836330	ERYTHROKERATODERMIA VARIABILIS 3 (disorder)
C1836383	SPINOCEREBELLAR ATAXIA 27
C1836395	SPINOCEREBELLAR ATAXIA 26
C1836439	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3
C1836447	Nemaline myopathy 4
C1836448	Nemaline myopathy 1
C1836450	Distal lower limb muscle weakness
C1836451	Distal lower limb amyotrophy
C1836460	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2
C1836474	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 7
C1836482	Li-Fraumeni Syndrome 2
C1836517	Senior-Loken Syndrome 5
C1836669	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If
C1836696	Lower limb hyperreflexia
C1836765	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G (disorder)
C1836797	Combined Oxidative Phosphorylation Deficiency 1
C1836830	Developmental regression
C1836843	Progressive inability to walk
C1836861	FANCONI ANEMIA, COMPLEMENTATION GROUP I
C1836892	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3
C1836906	Arrhythmogenic Right Ventricular Dysplasia, Familial, 9
C1837029	Macular Dystrophy, Butterfly-Shaped Pigmentary, 2
C1837065	CD8 Deficiency, Familial
C1837073	Spondylometaphyseal Dysplasia with Cone-Rod Dystrophy
C1837173	CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 5
C1837174	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 3
C1837206	Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly
C1837218	Cleft palate, isolated
C1837249	Malformations of Cortical Development, Group II
C1837317	Alpha-B Crystallinopathy
C1837355	Leukodystrophy, Hypomyelinating, 2
C1837371	Sudden Infant Death with Dysgenesis of the Testes Syndrome
C1837396	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ie
C1837397	Severe global developmental delay
C1837407	Ankle flexion contracture
C1837471	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8
C1837501	Microcephaly, Primary Autosomal Recessive, 5
C1837530	AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency
C1837552	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2L (disorder)
C1837608	DEAFNESS, AUTOSOMAL RECESSIVE 32
C1837610	ICHTHYOSIS PREMATURITY SYNDROME
C1837713	JOUBERT SYNDROME 3
C1837728	AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)
C1837750	Oligodontia-Colorectal Cancer Syndrome
C1837822	Burn-Mckeown syndrome
C1837835	Bilateral talipes equinovarus
C1837845	SICK SINUS SYNDROME 1, AUTOSOMAL RECESSIVE
C1837873	LEBER CONGENITAL AMAUROSIS 9 (disorder)
C1838023	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3
C1838103	MITOCHONDRIAL MYOPATHY AND SIDEROBLASTIC ANEMIA
C1838141	Angiokeratoma Corporis Diffusum with Arteriovenous Fistulas
C1838180	CODAS syndrome
C1838260	DIABETES MELLITUS, INSULIN-DEPENDENT, 5
C1838333	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 4
C1838416	CLEIDOCRANIAL DYSPLASIA, FORME FRUSTE, DENTAL ANOMALIES ONLY
C1838429	Epiphyseal dysplasia, multiple, 2
C1838440	ICHTHYOSIS EXFOLIATIVA
C1838457	FANCONI ANEMIA, COMPLEMENTATION GROUP D1
C1838547	MELANOMA-PANCREATIC CANCER SYNDROME
C1838601	Retinitis Pigmentosa 11
C1838625	Warburg Sjo Fledelius syndrome
C1838701	DEAFNESS, AUTOSOMAL RECESSIVE 2
C1838702	Retinitis Pigmentosa 13
C1838703	Bladder Exstrophy and Epispadias Complex
C1838867	PARKINSON DISEASE, MITOCHONDRIAL (disorder)
C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY
C1839161	Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis
C1839163	THROMBOCYTOPENIA 1 (disorder)
C1839164	Thrombocytopenia, X-Linked, Intermittent
C1839264	SPASTIC PARAPLEGIA 2, X-LINKED (disorder)
C1839413	Pyruvate Dehydrogenase E1 Alpha Deficiency
C1839463	TARP syndrome
C1839566	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5
C1839630	Severe muscular hypotonia
C1839736	WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME
C1839840	MALE PSEUDOHERMAPHRODITISM: DEFICIENCY OF TESTICULAR 17,20-DESMOLASE
C1839909	CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED
C1840068	Patellar hypoplasia
C1840169	CORONARY ARTERY DISEASE, SUSCEPTIBILITY TO
C1840347	HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE II (disorder)
C1840379	Cerebellar vermis hypoplasia
C1840389	Pseudohypoaldosteronism, Type IIa
C1840390	Pseudohypoaldosteronism, Type IIb
C1840391	Pseudohypoaldosteronism, Type IIc
C1840402	HYPERPARATHYROIDISM 1
C1841679	Hand foot uterus syndrome
C1841972	Glucocorticoid Receptor Deficiency
C1841973	Pseudohermaphroditism, Female, With Hypokalemia, Due To Glucocorticoid Resistance
C1842036	GIANT PIGMENTED HAIRY NEVUS
C1842062	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1F
C1842109	Microcephaly, Primary Autosomal Recessive, 6
C1842124	BRANCHIOOTIC SYNDROME 3 (disorder)
C1842160	MYOPATHY, MYOSIN STORAGE (disorder)
C1842197	Charcot-Marie-Tooth Disease, Recessive Intermediate A
C1842237	Charcot-Marie-Tooth Disease, Dominant Intermediate C
C1842362	HERMANSKY-PUDLAK SYNDROME 2
C1842364	Central hypotonia
C1842371	DEAFNESS, AUTOSOMAL DOMINANT 41 (disorder)
C1842408	increased risk of pancreatic cancer
C1842462	CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL
C1842531	Epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp
C1842534	DYSTONIA 18 (disorder)
C1842563	Heterotopia, Periventricular, Autosomal Recessive
C1842587	Sensory axonal neuropathy
C1842675	AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder)
C1842687	PONTOCEREBELLAR HYPOPLASIA TYPE 3 (disorder)
C1842763	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
C1842982	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 3, SUSCEPTIBILITY TO
C1842983	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K
C1843013	Alzheimer disease, familial, type 3
C1843015	Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia
