#DiseaseName	SourceName	ConceptID	SourceID	DiseaseMIM	LastModified	Category
Endometriosis of uterus	MONDO	C0341858	MONDO:0010888	600458	17 Apr 2020	Disease
Endometritis	MONDO	C0014179	MONDO:0000918		17 Apr 2020	Disease
Endometrium adenocarcinoma	MONDO		MONDO:0005461		17 Apr 2020	Disease
Endometrium carcinoma in situ	MONDO	C0346191	MONDO:0003315		17 Apr 2020	Disease
Endometrium neoplasm	MONDO		MONDO:0021251		17 Apr 2020	Disease
Endomyocardial fibrosis	MONDO		MONDO:0006746		16 Feb 2016	Disease
Endomyometritis	MONDO	C0269050	MONDO:0042451		17 Apr 2020	Disease
Endophthalmitis	MONDO	C0014236	MONDO:0016047		04 Jun 2020	Infectious disease
Endopolyploidy on chromosome studies of bone marrow	Human Phenotype Ontology	C4025624	HP:0003352		16 Feb 2016	Finding
Endosalpingiosis	MONDO	C0269106	MONDO:0001283		17 Apr 2020	Disease
Endothelial dystrophy, congenital hereditary, with nail hypoplasia	MONDO	C1856970	MONDO:0009171	226110	16 Feb 2016	Disease
Endotheliitis	MONDO	CN266165	MONDO:0015292		04 Jun 2020	Infectious disease
Endothrix infectious disease	MONDO	CN281912	MONDO:0000244		04 Jun 2020	Infectious disease
Endotoxin hyporesponsiveness	NCBI curation	C1864267			16 Feb 2016	Disease
Endove syndrome, limb-brain type	MONDO	CN295792	MONDO:0030979	619218	07 Jun 2021	Disease
Endove syndrome, limb-only type	MONDO	CN295791	MONDO:0030978	619217	07 Jun 2021	Disease
ENDOVES (EN1-associated dorsoventral syndrome)					22 Dec 2020	Disease
Endplate acetylcholinesterase deficiency	NCBI curation	C1864233		603034	16 Feb 2016	Disease
Endplate sclerosis					11 Sep 2020	Finding
Energy metabolism disorder with epilepsy	MONDO	CN226915	MONDO:0016401		17 Apr 2020	Disease
Enflurane response		CN263356			10 Mar 2020	Pharmacological response
enflurane response - Toxicity	PharmGKB		1450416366		04 Aug 2021	Pharmacological response
enflurane response - Toxicity/ADR	PharmGKB		1183705797PA449461		28 Jun 2019	Pharmacological response
Enfuvirtide response		CN298029			23 Jun 2021	Pharmacological response
Eng-Strom syndrome	MONDO	C1851081	MONDO:0007618	135950	06 Apr 2021	Disease
Engelhard yatziv syndrome	MONDO		MONDO:0023068		22 Jan 2021	Disease
Engraftment syndrome	MONDO	C0919746	MONDO:0043358		17 Apr 2020	Disease
Enhanced memory	NCBI curation				16 Feb 2016	Disease
Enhanced neurotoxicity of vincristine	Human Phenotype Ontology	C4025661	HP:0003009		16 Feb 2016	Finding
Enhanced ristocetin cofactor assay activity	Human Phenotype Ontology	C4022612	HP:0030136		16 Feb 2016	Finding
Enhanced S-cone syndrome	MONDO	C1849394	MONDO:0100288	268100	19 Feb 2021	Disease
Enhanced S-cone syndrome	MONDO	C1849394	MONDO:0009989	268100	19 Feb 2021	Disease
Enhancement of the C-reflex	Human Phenotype Ontology	C3552824	HP:0001340		16 Feb 2016	Finding
enlarged adenohypophysis					22 Aug 2019	Finding
Enlarged brainstem	Human Phenotype Ontology	C4022741	HP:0012755		16 Feb 2016	Finding
Enlarged cavum septum pellucidum					03 Mar 2020	Finding
Enlarged cerebellum	Human Phenotype Ontology	C3278024	HP:0012081		16 Feb 2016	Finding
enlarged cervical lymph nodes					22 Oct 2019	Finding
Enlarged cisterna magna	Human Phenotype Ontology	C1853377	HP:0002280		16 Feb 2016	Finding
Enlarged cochlear aqueduct	Human Phenotype Ontology	C4021154	HP:0011388		16 Feb 2016	Finding
Enlarged epiphyses	Human Phenotype Ontology	C1833328	HP:0010580		16 Feb 2016	Finding
Enlarged epiphyses of the 2nd finger	Human Phenotype Ontology	C4024334	HP:0009491		16 Feb 2016	Finding
Enlarged epiphyses of the 2nd toe	Human Phenotype Ontology	C4022374	HP:0100047		16 Feb 2016	Finding
Enlarged epiphyses of the 3rd finger	Human Phenotype Ontology	C4024380	HP:0009413		16 Feb 2016	Finding
Enlarged epiphyses of the 3rd toe	Human Phenotype Ontology	C4022363	HP:0100058		16 Feb 2016	Finding
Enlarged epiphyses of the 4th finger	Human Phenotype Ontology	C4024394	HP:0009396		16 Feb 2016	Finding
Enlarged epiphyses of the 4th toe	Human Phenotype Ontology	C4022352	HP:0100069		16 Feb 2016	Finding
Enlarged epiphyses of the 5th finger	Human Phenotype Ontology	C4024404	HP:0009385		16 Feb 2016	Finding
Enlarged epiphyses of the 5th toe	Human Phenotype Ontology	C4022341	HP:0100080		16 Feb 2016	Finding
Enlarged epiphyses of the distal phalanges of the hand	Human Phenotype Ontology	C4023950	HP:0010249		16 Feb 2016	Finding
Enlarged epiphyses of the hallux	Human Phenotype Ontology	C4024043	HP:0010116		16 Feb 2016	Finding
Enlarged epiphyses of the middle phalanges of the hand	Human Phenotype Ontology	C4023941	HP:0010260		16 Feb 2016	Finding
Enlarged epiphyses of the phalanges of the hand	Human Phenotype Ontology	C1865036	HP:0010231		16 Feb 2016	Finding
Enlarged epiphyses of the proximal phalanges of the hand	Human Phenotype Ontology	C4023930	HP:0010271		16 Feb 2016	Finding
Enlarged epiphyses of the toes	Human Phenotype Ontology	C4023994	HP:0010165		16 Feb 2016	Finding
Enlarged epiphysis of the 1st metacarpal	Human Phenotype Ontology	C4024105	HP:0010018		16 Feb 2016	Finding
Enlarged epiphysis of the 1st metatarsal	Human Phenotype Ontology	C4024007	HP:0010152		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 2nd finger	Human Phenotype Ontology	C4024325	HP:0009505		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 2nd toe	Human Phenotype Ontology	C4022318	HP:0100103		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 3rd finger	Human Phenotype Ontology	C4024429	HP:0009338		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 3rd toe	Human Phenotype Ontology	C4022283	HP:0100138		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 4th finger	Human Phenotype Ontology	C4024494	HP:0009253		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 4th toe	Human Phenotype Ontology	C4022249	HP:0100172		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 5th finger	Human Phenotype Ontology	C4024572	HP:0009147		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the 5th toe	Human Phenotype Ontology	C4022216	HP:0100205		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the hallux	Human Phenotype Ontology	C4024018	HP:0010141		16 Feb 2016	Finding
Enlarged epiphysis of the distal phalanx of the thumb	Human Phenotype Ontology	C4021408	HP:0009678		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 2nd finger	Human Phenotype Ontology	C4024317	HP:0009516		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 2nd toe	Human Phenotype Ontology	C4022307	HP:0100114		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 3rd finger	Human Phenotype Ontology	C4024441	HP:0009324		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 3rd toe	Human Phenotype Ontology	C4022272	HP:0100149		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 4th finger	Human Phenotype Ontology	C4024524	HP:0009217		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 4th toe	Human Phenotype Ontology	C4022238	HP:0100183		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 5th finger	Human Phenotype Ontology	C4024534	HP:0009206		16 Feb 2016	Finding
Enlarged epiphysis of the middle phalanx of the 5th toe	Human Phenotype Ontology	C4022205	HP:0100216		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 2nd finger	Human Phenotype Ontology	C4021455	HP:0009527		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 2nd toe	Human Phenotype Ontology	C4022296	HP:0100125		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 3rd finger	Human Phenotype Ontology	C4021488	HP:0009349		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 3rd toe	Human Phenotype Ontology	C4022261	HP:0100160		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 4th finger	Human Phenotype Ontology	C4024485	HP:0009264		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 4th toe	Human Phenotype Ontology	C4022227	HP:0100194		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 5th finger	Human Phenotype Ontology	C4024566	HP:0009158		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the 5th toe	Human Phenotype Ontology	C4022194	HP:0100227		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the hallux	Human Phenotype Ontology	C4024029	HP:0010130		16 Feb 2016	Finding
Enlarged epiphysis of the proximal phalanx of the thumb	Human Phenotype Ontology	C4024250	HP:0009667		16 Feb 2016	Finding
Enlarged Eustachian valve	Human Phenotype Ontology	C4703429	HP:0031591		04 Apr 2018	Finding
Enlarged fetal cisterna magna	Human Phenotype Ontology	C4023365	HP:0011427		16 Feb 2016	Finding
Enlarged flash visual evoked potentials	Human Phenotype Ontology	C4021558	HP:0008045		16 Feb 2016	Finding
Enlarged fossa interpeduncularis	Human Phenotype Ontology	C4020922	HP:0100951		16 Feb 2016	Finding
Enlarged hippocampus	Human Phenotype Ontology	C4021908	HP:0100961		16 Feb 2016	Finding
Enlarged humeral metaphyses	Human Phenotype Ontology	C4021707	HP:0003910		16 Feb 2016	Finding
Enlarged interhemispheric fissure	Human Phenotype Ontology	C4020920	HP:0100953		16 Feb 2016	Finding
Enlarged interphalangeal joints	Human Phenotype Ontology	C1859701	HP:0006247		16 Feb 2016	Finding
Enlarged joints	Human Phenotype Ontology	C1859111	HP:0003037		16 Feb 2016	Finding
Enlarged kidney	Human Phenotype Ontology	C0542518	HP:0000105		02 Apr 2017	Finding
Enlarged kidneys					22 Jun 2020	Finding
Enlarged labia minora	Human Phenotype Ontology	C1849358	HP:0008683		16 Feb 2016	Finding
Enlarged lacrimal glands	Human Phenotype Ontology	C1867030	HP:0007734		16 Feb 2016	Finding
enlarged left ectopic kidney					22 Oct 2019	Finding
Enlarged mesenteric lymph node	Human Phenotype Ontology	C4476563	HP:0025043		02 Apr 2017	Finding
Enlarged metacarpal epiphyses	Human Phenotype Ontology	C1865035	HP:0006134		16 Feb 2016	Finding
Enlarged metacarpophalangeal joints	Human Phenotype Ontology	C1859700	HP:0006163		16 Feb 2016	Finding
Enlarged metaphyses	Human Phenotype Ontology	C1855544	HP:0003051		16 Feb 2016	Finding
Enlarged naris	Human Phenotype Ontology	C0426440	HP:0009931		16 Feb 2016	Finding
Enlarged ovaries	Human Phenotype Ontology	C0392039	HP:0100879		16 Feb 2016	Finding
Enlarged parietal foramina	Orphanet	C1868598	ORPHA60015		08 Oct 2018	Disease
Enlarged peripheral nerve	Human Phenotype Ontology	C2675074	HP:0012645		16 Feb 2016	Finding
Enlarged pituitary gland	Human Phenotype Ontology	C0342422	HP:0012505		16 Feb 2016	Finding
Enlarged polycystic ovaries	Human Phenotype Ontology	C4024641	HP:0008675		16 Feb 2016	Finding
Enlarged proximal interphalangeal joints	Human Phenotype Ontology	C1861350	HP:0006185		16 Feb 2016	Finding
Enlarged pulmonary artery					22 Jun 2020	Finding
Enlarged right ventricle					22 Jun 2020	Finding
Enlarged sagittal diameter of the cervical canal	Human Phenotype Ontology	C4025118	HP:0005878		16 Feb 2016	Finding
Enlarged semicircular canal	Human Phenotype Ontology	C4021156	HP:0011383		16 Feb 2016	Finding
Enlarged Spleen		CN238738			19 Oct 2016	Finding
Enlarged sylvian cistern	Human Phenotype Ontology	C4020921	HP:0100952		16 Feb 2016	Finding
Enlarged thalamic volume	Human Phenotype Ontology	C4022772	HP:0012694		16 Feb 2016	Finding
Enlarged thorax	Human Phenotype Ontology	C4020962	HP:0100625		16 Feb 2016	Finding
Enlarged thumb epiphysis	Human Phenotype Ontology	C4021406	HP:0009689		16 Feb 2016	Finding
Enlarged tonsils	Human Phenotype Ontology	C0272386	HP:0030812		02 Apr 2017	Finding
Enlarged uterus	Human Phenotype Ontology	C0151994	HP:0100878		16 Feb 2016	Finding
Enlarged vertebral pedicles	Human Phenotype Ontology	C4025303	HP:0004621		16 Feb 2016	Finding
Enlarged vestibular aqueduct syndrome	MONDO	C1863752	MONDO:0023069		15 Jan 2021	Disease
Enlarged vestibular aqueduct, digenic		CN260086			20 Jun 2019	Disease
Enlarged-cystic kidneys					15 Mar 2018	Finding
Enlarged-cystic kidneys with severely impaired renal function at birth					19 Jul 2018	Finding
Enlargement of parotid gland	Human Phenotype Ontology	C0341047	HP:0011801		16 Feb 2016	Finding
Enlargement of the ankles	Human Phenotype Ontology	C1838664	HP:0003029		16 Feb 2016	Finding
Enlargement of the cisterna magna					23 Jan 2020	Finding
Enlargement of the costochondral junction	Human Phenotype Ontology	C1857180	HP:0000920		16 Feb 2016	Finding
Enlargement of the distal femoral epiphysis	Human Phenotype Ontology	C1843105	HP:0006438		16 Feb 2016	Finding
Enlargement of the proximal femoral epiphysis	Human Phenotype Ontology	C1859697	HP:0003371		16 Feb 2016	Finding
Enlargement of the wrists	Human Phenotype Ontology	C1838663	HP:0003020		16 Feb 2016	Finding
ENOLASE ALPHA, LUNG-SPECIFIC	OMIM	CN263302	607098	607098	26 Feb 2020	Disease
Enolase deficiency type 1					16 Feb 2016	Disease
Enolase deficiency type 2					16 Feb 2016	Disease
Enolase deficiency type 3					16 Feb 2016	Disease
Enolase deficiency type 4					16 Feb 2016	Disease
Enolase, sperm specific	MONDO	C3888311	MONDO:0007543		17 Apr 2020	Disease
enophtalmos					01 Oct 2020	Finding
Enophthalmia					23 Jan 2020	Finding
Enoplea infectious disease	MONDO	CN281775	MONDO:0005745		04 Jun 2020	Infectious disease
Enoxaparin response		CN298030			23 Jun 2021	Pharmacological response
ENPP1-Related Disorders					23 May 2019	Disease
ENT congestion inducing vomiting					01 Oct 2020	Finding
Entacapone response	NCBI curation	CN227913			16 Feb 2016	Pharmacological response
Entecavir response		CN298063			23 Jun 2021	Pharmacological response
Enteric intraneuronal nuclear inclusion bodies	Human Phenotype Ontology	C4476867	HP:0030938		02 Apr 2017	Finding
Enteric neuronal degeneration	Human Phenotype Ontology	C4293668	HP:0025030		02 Apr 2017	Finding
Enteric pattern testicular yolk sac tumor	MONDO	C1515304	MONDO:0004543		17 Apr 2020	Disease
Enteritis	MONDO	C0014335	MONDO:0043579		17 Apr 2020	Disease
Enterobiasis	MONDO	C0086227	MONDO:0005746		16 Feb 2016	Infectious disease
Enterochromaffin cell serotonin-producing pancreatic neuroendocrine tumor	MONDO	C0345933	MONDO:0024504		17 Apr 2020	Disease
enterococcus as the cause of diseases classified elsewhere					05 Sep 2019	Finding
enterococcus as the cause of diseases classified elsewhere (PANDAS)					05 Sep 2019	Finding
Enterococcus faecalis infection	MONDO	CN281752	MONDO:0005121		04 Jun 2020	Infectious disease
Enterocolitis	Human Phenotype Ontology	C0014356	HP:0004387	226150	16 Feb 2016	Disease
Enterocolitis	MONDO	C0014356	MONDO:0009172	226150	16 Feb 2016	Disease
Enterokinase deficiency	NCBI curation	C0268416		226200	16 Feb 2016	Disease
Enteropathica					16 Feb 2016	Disease
Enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	NCBI curation	C1838238		600351	16 Feb 2016	Disease
Enteropathy-associated T-cell lymphoma	MONDO	C0456889	MONDO:0019473		16 Feb 2016	Disease
Enteroviral dermatomyositis syndrome	Human Phenotype Ontology	C3806660	HP:0003729		16 Feb 2016	Finding
Enteroviral hepatitis	Human Phenotype Ontology	C1843995	HP:0001412		16 Feb 2016	Finding
Enterovirus antenatal infection	MONDO	CN281943	MONDO:0023071		16 Feb 2016	Infectious disease
Enterovirus infectious disease	MONDO	C0014378	MONDO:0005747		04 Jun 2020	Infectious disease
Enthesitis	MONDO	C1282952	MONDO:0024419		16 Feb 2016	Finding
Enthesitis	Human Phenotype Ontology	C1282952	HP:0100686		16 Feb 2016	Finding
Enthesitis-related juvenile idiopathic arthritis	MONDO	C3495919	MONDO:0019437		17 Apr 2020	Disease
Enthesopathy	MONDO	C0242490	MONDO:0002183		17 Apr 2020	Disease
Entrapment neuropathy	Human Phenotype Ontology	C1510429	HP:0012181		16 Feb 2016	Finding
Entrapment neuropathy of suprascapular nerve	Human Phenotype Ontology	C0393890	HP:0012216		16 Feb 2016	Finding
Entrapment neuropathy of the ulnar nerve at elbow	Human Phenotype Ontology	C4023008	HP:0012186		16 Feb 2016	Finding
Entrectinib resistance					12 Aug 2021	Pharmacological response
Entropion	Human Phenotype Ontology	C0014390	HP:0000621		16 Feb 2016	Finding
Entropion	MONDO	C0014390	MONDO:0001519		16 Feb 2016	Finding
Enuresis	MONDO	C0014394	MONDO:0024290		16 Feb 2016	Finding
Enuresis	Human Phenotype Ontology	C0014394	HP:0000805		16 Feb 2016	Finding
Enuresis diurna	Human Phenotype Ontology	C4023746	HP:0010678		16 Feb 2016	Finding
Enuresis, nocturnal, 2	NCBI curation	C1833268		600808	16 Feb 2016	Disease
Envenomization by bothrops lanceolatus					16 Feb 2016	Disease
Envenomization by the Martinique lancehead viper					16 Feb 2016	Disease
Environment associated hypertension					16 Feb 2016	Disease
Enzyme activity finding	NCBI curation	C1827841			16 Feb 2016	Finding
Eosinophil disease	MONDO	C1691020	MONDO:0044972		17 Apr 2020	Disease
Eosinophil peroxidase deficiency	MONDO	C1850000	MONDO:0043364	261500	17 Apr 2016	Disease
Eosinophilia	Human Phenotype Ontology	C0014457	HP:0001880		16 Feb 2016	Finding
Eosinophilia myalgia syndrome					16 Feb 2016	Disease
Eosinophilic angiocentric fibrosis	MONDO	CN266173	MONDO:0018676		16 Feb 2016	Disease
Eosinophilic cellulitis		C0343101			16 Feb 2016	Disease
Eosinophilic colitis	MONDO	C0267448	MONDO:0018439		17 Apr 2020	Disease
Eosinophilic cryptitis	MONDO	C0742965	MONDO:0023073		22 Jan 2021	Disease
Eosinophilic cystitis					16 Feb 2016	Disease
Eosinophilic esophagitis		C4551589		610247	16 Feb 2016	Disease
Eosinophilic gastritis	MONDO	C0267154	MONDO:0002840		22 Jan 2021	Disease
Eosinophilic gastroenteritis	MONDO	C1262481	MONDO:0016129		28 May 2020	Disease
Eosinophilic gastrointestinal disease	MONDO	CN269802	MONDO:0018438		27 Sep 2018	Finding
Eosinophilic granuloma	MONDO	C0014461	MONDO:0020517		17 Apr 2020	Disease
Eosinophilic granulomatosis with polyangiitis	MONDO	C0008728	MONDO:0015943		17 Apr 2020	Disease
eosinophilic infiltration of the esophagus					24 Jul 2021	Finding
Eosinophilic meningitis	MONDO	C0154652	MONDO:0001015		17 Apr 2020	Disease
Eosinophilic pneumonia	MONDO	C1527407	MONDO:0005749		22 Apr 2020	Infectious disease
Eosinophilic pustular folliculitis	MONDO	C0406305	MONDO:0023076		16 Feb 2016	Disease
Eosinophilic variant of chromophobe renal cell carcinoma	MONDO	C1333405	MONDO:0003942		17 Apr 2020	Disease
Eosinophilopenia	MONDO	C1851586	MONDO:0007545	131430	16 Feb 2016	Disease
EPB42-Related Hereditary Spherocytosi		CN257766			02 Nov 2018	Disease
Ependymal cyst		C0338599			23 Jan 2020	Finding
Ependymal tumor	MONDO	C1333407	MONDO:0003266		22 Jan 2021	Disease
Ependymal tumor of brain	MONDO	C0238029	MONDO:0004245		17 Apr 2020	Disease
Ependymal tumor of spinal cord	MONDO	C4318747	MONDO:0021546		17 Apr 2020	Disease
Ependymoblastoma	Human Phenotype Ontology	C0700367	HP:0030066		16 Feb 2016	Disease
Ependymoblastoma	MONDO	C0700367	MONDO:0016715		16 Feb 2016	Disease
Ependymoma	Human Phenotype Ontology	C0014474	HP:0002888		16 Feb 2016	Disease
Ependymoma	MONDO	C0014474	MONDO:0016698		16 Feb 2016	Disease
Epiblepharon	Human Phenotype Ontology	C0344503	HP:0011225		16 Feb 2016	Finding
Epiblepharon	MONDO	C0344503	MONDO:0020461		16 Feb 2016	Finding
Epiblepharon of lower lid	Human Phenotype Ontology	C1851583	HP:0040151	131450	16 Feb 2016	Disease
Epiblepharon of upper lid	Human Phenotype Ontology	C1851582	HP:0040150	131460	16 Feb 2016	Disease
Epibulbar dermoid	Human Phenotype Ontology	C1867616	HP:0001140		16 Feb 2016	Finding
Epibulbar lipodermoid-preauricular appendage-polythelia syndrome	MONDO	CN226948	MONDO:0016510		17 Apr 2020	Disease
Epicanthic fold					26 Sep 2019	Finding
Epicanthus	NCBI curation	C0678230		131500	16 Feb 2016	Disease
Epicanthus inversus	Human Phenotype Ontology	C1303003	HP:0000537		16 Feb 2016	Finding
Epicardium cancer	MONDO	C2607932	MONDO:0003104		17 Apr 2020	Disease
Epicardium lipoma	MONDO	C1333411	MONDO:0003840		17 Apr 2020	Disease
Epicondylitis	MONDO	C0014488	MONDO:0001875		17 Apr 2020	Disease
Epidemic encephalitis					16 Feb 2016	Disease
Epidemic encephalomyelitis					16 Feb 2016	Disease
Epidemic keratoconjunctivitis	MONDO	C0014493	MONDO:0001615		04 Jun 2020	Infectious disease
Epidemic louse-borne typhus	MONDO	C0041473	MONDO:0019362		04 Jun 2020	Infectious disease
Epidemic pleurodynia	MONDO	C0032238	MONDO:0005751		04 Jun 2020	Infectious disease
Epidermal acanthosis	Human Phenotype Ontology	C0221270	HP:0025092		02 Apr 2017	Finding
Epidermal appendage anomaly	MONDO	CN205924	MONDO:0019277		17 Apr 2020	Disease
Epidermal disease	MONDO	CN205920	MONDO:0019268		15 Jan 2021	Disease
Epidermal hyperkeratosis	Human Phenotype Ontology	C1848773	HP:0007543		16 Feb 2016	Finding
Epidermal nevus	Human Phenotype Ontology	C0334082	HP:0010816	162900	16 Feb 2016	Disease
Epidermal nevus syndrome	NCBI curation	C4552097		163200	16 Feb 2016	Disease
Epidermal nevus vitamin D resistant rickets	MONDO		MONDO:0023079		16 Feb 2016	Disease
Epidermal nevus with urothelial cancer, somatic	NCBI curation	C3277679			13 Dec 2018	Disease
Epidermal thickening	Human Phenotype Ontology	C0494876	HP:0011368		16 Feb 2016	Finding
Epidermodysplasia verruciformis	MONDO	C0014522	MONDO:0009176		27 Jan 2020	Disease
EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 1	OMIM	C4722564	226400	226400	27 Jan 2020	Disease
Epidermodysplasia verruciformis, susceptibility to, 2	MONDO	C4722258	MONDO:0032614	618231	22 Jan 2021	Disease
Epidermodysplasia verruciformis, susceptibility to, 3	MONDO	C4748876	MONDO:0032644	618267	22 Jan 2021	Disease
Epidermodysplasia verruciformis, susceptibility to, 4	MONDO	C4749042	MONDO:0032666	618307	22 Jan 2021	Disease
Epidermodysplasia verruciformis, susceptibility to, 5	MONDO	C4749043	MONDO:0032667	618309	22 Jan 2021	Disease
Epidermodysplasia verruciformis, X-linked	MONDO	C1844589	MONDO:0010587	305350	16 Feb 2016	Disease
Epidermoid cyst	Human Phenotype Ontology	CN117781	HP:0200040		04 Apr 2018	Finding
Epidermoid cysts	MONDO	C0014511	MONDO:0007547	131600	16 Feb 2016	Disease
Epidermoid with cystic CSF accumulation in left posterior fossa					23 Jan 2020	Finding
Epidermolysis bullosa	MONDO	C0014527	MONDO:0006541		16 Feb 2016	Disease
Epidermolysis Bullosa Distrophica Autosomal Recessive (RDEB)					11 Sep 2020	Disease
Epidermolysis bullosa dystrophica inversa, autosomal recessive	NCBI curation	C2673612			16 Feb 2016	Disease
Epidermolysis bullosa dystrophica with subcorneal cleavage	NCBI curation				16 Feb 2016	Disease
Epidermolysis bullosa dystrophica, autosomal recessive, localisata variant	NCBI curation	C2673611			16 Feb 2016	Disease
Epidermolysis bullosa dystrophica, autosomal recessive, modifier of	NCBI curation	C2675760			14 Aug 2018	Disease
Epidermolysis bullosa intraepidermic					16 Feb 2016	Disease
Epidermolysis bullosa junctionalis with pyloric atresia	NCBI curation	C1856934		226730	28 Feb 2017	Disease
Epidermolysis bullosa pruriginosa		C1275114		604129	16 Feb 2016	Disease
Epidermolysis bullosa pruriginosa, autosomal dominant	NCBI curation	C2675780			16 Feb 2016	Disease
Epidermolysis bullosa pruriginosa, autosomal recessive	NCBI curation	C1853063			16 Feb 2016	Disease
Epidermolysis bullosa simplex	MONDO	C0079298	MONDO:0017610		16 Feb 2016	Disease
Epidermolysis bullosa simplex Dowling-Meara type	MONDO	C0079295	MONDO:0007550	131760	22 Apr 2020	Disease
Epidermolysis bullosa simplex due to plakophilin deficiency	MONDO	C1858302	MONDO:0011472	604536	17 Apr 2020	Disease
Epidermolysis bullosa simplex superficialis	MONDO	C1843477	MONDO:0011869	607600	16 Feb 2016	Disease
Epidermolysis bullosa simplex with anodontia/hypodontia	MONDO	C0432313	MONDO:0016514		17 Apr 2020	Disease
Epidermolysis bullosa simplex with migratory circinate erythema	NCBI curation	C1836284		609352	16 Feb 2016	Disease
Epidermolysis bullosa simplex with mottled pigmentation	MONDO	C0432316	MONDO:0007556	131960	16 Feb 2016	Disease
Epidermolysis bullosa simplex with muscular dystrophy	MONDO	C2931072	MONDO:0009181	226670	22 Apr 2020	Disease
Epidermolysis bullosa simplex with nail dystrophy	MONDO	C4225309	MONDO:0014661	616487	16 Feb 2016	Disease
Epidermolysis bullosa simplex with pyloric atresia	MONDO	C2677349	MONDO:0012807	612138	16 Feb 2016	Disease
Epidermolysis bullosa simplex, autosomal recessive	NCBI curation	C3715082		601001	16 Feb 2016	Disease
Epidermolysis bullosa simplex, autosomal recessive 2	NCBI curation	C3809470		615425	16 Feb 2016	Disease
Epidermolysis bullosa simplex, Dowling-Meara type, with severe palmoplantar keratoderma	NCBI curation	C4016235			16 Feb 2016	Disease
Epidermolysis bullosa simplex, generalized, with scarring and hair loss	NCBI curation	C4310631		617294	20 Jun 2017	Disease
Epidermolysis bullosa simplex, generalized, with severe palmoplantar keratosis	NCBI curation	C4016236			16 Feb 2016	Disease
Epidermolysis bullosa simplex, Koebner type	NCBI curation	C0079299		131900	16 Feb 2016	Disease
Epidermolysis bullosa simplex, Ogna type		C0432317		131950	16 Feb 2016	Disease
Epidermolysis bullosa with deficiency of galactosylhydroxylysyl glucosyltransferase	MONDO	C1851570	MONDO:0007553	131880	16 Feb 2016	Disease
Epidermolysis bullosa with diaphragmatic hernia	MONDO	C1856933	MONDO:0009184	226735	16 Feb 2016	Disease
Epidermolysis bullosa, dermolytic					16 Feb 2016	Disease
Epidermolysis bullosa, junctional, localisata variant	NCBI curation	C2608084			16 Feb 2016	Disease
Epidermolysis bullosa, junctional, with pyloric atrophy					16 Feb 2016	Disease
Epidermolysis bullosa, nonspecific, autosomal recessive	NCBI curation	C3554367		615028	16 Feb 2016	Disease
Epidermolysis bullosa, pretibial, autosomal recessive	NCBI curation	C4015945			16 Feb 2016	Disease
Epidermolytic acanthoma	MONDO	C1333414	MONDO:0002962		17 Apr 2020	Disease
Epidermolytic hyperkeratosis, late-onset	NCBI curation	C1862005			16 Feb 2016	Disease
Epidermolytic nevus	MONDO	C1302848	MONDO:0044656		17 Apr 2020	Disease
Epidermolytic palmoplantar keratoderma	MONDO	C1721006	MONDO:0007758	144200	17 Apr 2020	Disease
Epididymal adenocarcinoma	MONDO	C1510784	MONDO:0001017		17 Apr 2020	Disease
Epididymal adenomatoid tumor	MONDO	C1333415	MONDO:0004227		17 Apr 2020	Disease
Epididymal cyst	Human Phenotype Ontology	C0037859	HP:0030424		16 Feb 2016	Finding
Epididymal neoplasm	MONDO	C0346239	MONDO:0003283		16 Feb 2016	Finding
Epididymal neoplasm	Human Phenotype Ontology	C0346239	HP:0030421		16 Feb 2016	Finding
Epididymis cancer	MONDO	C0153602	MONDO:0001016		17 Apr 2020	Disease
